"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","behavior","catalogNumber","class","classKey","cloc","collectionCode","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferenceRemarks","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/modified","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","phylum","phylumKey","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","sampleSizeUnit","samplingEffort","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vitality","waterBody","year","downloadDate"
"1","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"257124303","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",6,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-03T10:33:12",2,NA,NA,NA,2,"2025-01-02T13:40:09Z",NA,NA,"13:40:09+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5007226797","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"sophieheadland",NA,"579808747",NA,NA,NA,NA,"ffnaturalist","257124303",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5007226797,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:57:00.446+00:00","2025-05-30T23:57:00.446+00:00",50.025369,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.096057,"2025-04-10T22:19:28.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/257124303",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sophie Headland",NA,"https://www.inaturalist.org/observations/257124303","Sophie Headland",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",2,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-02 13:40:09",NA,"Car Park, Coverack, Helston TR12 6TF, UK",NA,NA,2025,2025-06-03
"2","Perforatus perforatus (Bruguière, 1789)",9802456,"Wales",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258275254","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",43,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-12T16:32:58",12,NA,NA,NA,12,"2025-01-12T11:30:26Z",NA,NA,"11:30:26+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5062998880","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"odino267",NA,"582785327",NA,NA,NA,NA,"T.Evans","258275254",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5062998880,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:56:32.720+00:00","2025-05-30T23:56:32.720+00:00",51.70418,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.154614,"2025-04-12T01:01:00.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258275254",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","T.Evans",NA,"https://www.inaturalist.org/observations/258275254","T.Evans",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",12,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-12 11:30:26",NA,"United Kingdom",NA,NA,2025,2025-06-03
"3","Perforatus perforatus (Bruguière, 1789)",9802456,"Wales",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258586923","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-15T20:17:13",15,NA,NA,NA,15,"2025-01-15T13:42:44Z",NA,NA,"13:42:44+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5062954236","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"odino267",NA,"583723369",NA,NA,NA,NA,"T.Evans","258586923",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5062954236,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:46:58.644+00:00","2025-05-30T23:46:58.644+00:00",51.717419,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.204266,"2025-01-17T14:51:27.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258586923",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","T.Evans",NA,"https://www.inaturalist.org/observations/258586923","T.Evans",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",15,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-15 13:42:44",NA,"Dale, Haverfordwest SA62, UK",NA,NA,2025,2025-06-03
"4","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258835177","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",14,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T14:16:36",18,NA,NA,NA,18,"2025-01-18T14:16:18Z",NA,NA,"14:16:18+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063082841","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"kw24",NA,"584439118",NA,NA,NA,NA,"KW","258835177",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063082841,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T01:22:01.496+00:00","2025-05-31T01:22:01.496+00:00",50.147586,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056515,"2025-04-12T12:56:10.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258835177",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","KW",NA,"https://www.inaturalist.org/observations/258835177","KW",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:16:18Z",NA,"Falmouth Bay, Falmouth, England, GB",NA,NA,2025,2025-06-03
"5","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258835353","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",4,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T14:18:29",18,NA,NA,NA,18,"2025-01-18T14:18:13Z",NA,NA,"14:18:13+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063078772","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"laurad05",NA,"584439473",NA,NA,NA,NA,"laurad05","258835353",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063078772,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:25:23.188+00:00","2025-05-31T00:25:23.188+00:00",50.147772,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056752,"2025-04-12T12:56:18.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258835353",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","laurad05",NA,"https://www.inaturalist.org/observations/258835353","laurad05",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:18:13Z",NA,"Cliff Road, Falmouth, England, GB",NA,NA,2025,2025-06-03
"6","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258835829","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",300,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T14:23:53",18,NA,NA,NA,18,"2025-01-18T14:23:35Z",NA,NA,"14:23:35+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063147908","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"ellie-maynard",NA,"584440524",NA,NA,NA,NA,"ellie-maynard","258835829",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063147908,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:06:11.503+00:00","2025-05-31T00:06:11.503+00:00",50.148995,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.058166,"2025-04-12T12:56:33.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258835829",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ellie-maynard",NA,"https://www.inaturalist.org/observations/258835829","ellie-maynard",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:23:35Z",NA,"Cliff Road, Falmouth, England, GB",NA,NA,2025,2025-06-03
"7","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258836755","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",6,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T14:34:30",18,NA,NA,NA,18,"2025-01-18T14:33:33Z",NA,NA,"14:33:33+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063121904","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"aliceyypoo",NA,"584442528",NA,NA,NA,NA,"aliceyypoo","258836755",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063121904,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:43:59.458+00:00","2025-05-31T00:43:59.458+00:00",50.147671,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056528,"2025-04-12T12:57:04.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258836755",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","aliceyypoo",NA,"https://www.inaturalist.org/observations/258836755","aliceyypoo",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:33:33",NA,"Falmouth TR11 4NZ, UK",NA,NA,2025,2025-06-03
"8","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258839050","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T14:57:52",18,NA,NA,NA,18,"2025-01-18T14:57:06Z",NA,NA,"14:57:06+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063114744","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"bellaallan",NA,"584447875",NA,NA,NA,NA,"Bella","258839050",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063114744,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:35:24.452+00:00","2025-05-30T22:35:24.452+00:00",50.356392,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.127556,"2025-04-12T13:00:33.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258839050",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Bella",NA,"https://www.inaturalist.org/observations/258839050","Bella",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:57:06",NA,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",NA,NA,2025,2025-06-03
"9","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"258848845","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-01-18T16:45:25",18,NA,NA,NA,18,"2025-01-18T14:59:56Z",NA,NA,"14:59:56+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063114111","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"oftd",NA,"584471714",NA,NA,NA,NA,"Gavin Jones","258848845",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063114111,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:59:29.010+00:00","2025-05-30T22:59:29.010+00:00",50.356883,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-4.124897,"2025-04-12T13:14:04.000+00:00",1,NA,NA,"https://www.inaturalist.org/observations/258848845",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Gavin Jones",NA,"https://www.inaturalist.org/observations/258848845","Gavin Jones",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",18,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-01-18 14:59:56",NA,"Mt Batten House, Mount Batten, Plymouth PL9 9SS, UK",NA,NA,2025,2025-06-03
"10","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"260415552","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",13,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-02T19:31:38",2,NA,NA,NA,33,"2025-02-02T19:30:57Z",NA,NA,"19:30:57+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063740071","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"kieope",NA,"588889651",NA,NA,NA,NA,"kiera🪲","260415552",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063740071,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T01:06:29.361+00:00","2025-05-31T01:06:29.361+00:00",50.5929,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-3.443503,"2025-04-14T04:41:10.000+00:00",2,NA,NA,"https://www.inaturalist.org/observations/260415552",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","kiera🪲",NA,"https://www.inaturalist.org/observations/260415552","kiera🪲",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",33,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-02 19:30:57Z",NA,"South West Coast Point, Dawlish, England, GB",NA,NA,2025,2025-06-03
"11","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"260608257","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",8,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-04T14:41:11",4,NA,NA,NA,35,"2025-02-04T14:40:44Z",NA,NA,"14:40:44+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5063830031","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"alfiewaters",NA,"589435273",NA,NA,NA,NA,"alfiewaters","260608257",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5063830031,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:12:55.008+00:00","2025-05-31T00:12:55.008+00:00",50.144764,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.065005,"2025-04-14T08:37:39.000+00:00",2,NA,NA,"https://www.inaturalist.org/observations/260608257",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","alfiewaters",NA,"https://www.inaturalist.org/observations/260608257","alfiewaters",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",35,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-04 14:40:44Z",NA,"Falmouth Bay, Falmouth, England, GB",NA,NA,2025,2025-06-03
"12","Perforatus perforatus (Bruguière, 1789)",9802456,"Wales",NA,NA,NA,"HUMAN_OBSERVATION",NA,"261458291","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",3,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-12T17:23:24",12,NA,NA,NA,43,"2025-02-12T17:22:48Z",NA,NA,"17:22:48+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5069838791","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"megano221",NA,"591842284",NA,NA,NA,NA,"megano221","261458291",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5069838791,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:21:55.705+00:00","2025-05-30T23:21:55.705+00:00",53.220748,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.164543,"2025-04-15T10:03:14.000+00:00",2,NA,NA,"https://www.inaturalist.org/observations/261458291",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","megano221",NA,"https://www.inaturalist.org/observations/261458291","megano221",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",43,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-12 17:22:48",NA,"Menai Bridge, UK",NA,NA,2025,2025-06-03
"13","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"261723174","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",3,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T13:38:36",15,NA,NA,NA,46,"2025-02-15T13:34:40Z",NA,NA,"13:34:40+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5069884280","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"caitlinevans97",NA,"592597150",NA,NA,NA,NA,"caitlinevans97","261723174",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5069884280,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:36:05.016+00:00","2025-05-30T22:36:05.016+00:00",50.147699,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056139,"2025-02-16T09:51:30.000+00:00",2,NA,NA,"https://www.inaturalist.org/observations/261723174",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","caitlinevans97",NA,"https://www.inaturalist.org/observations/261723174","caitlinevans97",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",46,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 13:34:40Z",NA,"Falmouth Bay, Falmouth, England, GB",NA,NA,2025,2025-06-03
"14","Perforatus perforatus (Bruguière, 1789)",9802456,"England",NA,NA,NA,"HUMAN_OBSERVATION",NA,"261724220","Maxillopoda",203,"United Kingdom, EUROPE","Observations","EUROPE",3,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T13:52:29",15,NA,NA,NA,46,"2025-02-15T13:51:32Z",NA,NA,"13:51:32+00:00","Balanidae",9152,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5070043362","EUROPE","Perforatus","Perforatus",4805724,"WGS84",NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,NA,"wrightmadison44",NA,"592600084",NA,NA,NA,NA,"wrightmadison44","261724220",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5070043362,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:19:35.037+00:00","2025-05-31T00:19:35.037+00:00",50.356595,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.127337,"2025-02-15T15:29:21.000+00:00",2,NA,NA,"https://www.inaturalist.org/observations/261724220",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","wrightmadison44",NA,"https://www.inaturalist.org/observations/261724220","wrightmadison44",NA,NA,NA,"Perforatus perforatus (Bruguière, 1789)",NA,NA,"Perforatus perforatus",9802456,"perforatus",46,NA,"639057",9802456,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 13:51:32Z",NA,"Batten Bay, Plymouth, England, GB",NA,NA,2025,2025-06-03
